Sub_Model,RiskFactor_NM,X1_Var,X2_Var,RiskFactor,X1_Val,X2_Val,Calc_Type,On_Off,Monotonicity,Fixed,Key
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.3175540275883949,-400,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_165
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.317553364290847,-400,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_200
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.31755270099329913,-400,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_250
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.31755203769575124,-400,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_300
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.31755137439820336,-400,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_350
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.31755071110065547,-400,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_400
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.3175500478031076,-400,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_450
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.3175493845055597,-400,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_500
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136650229959408,-300,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_70
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41366435969839294,-300,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_85
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41366369640084505,-300,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_105
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41366303310329716,-300,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_120
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136623698057493,-300,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_140
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136617065082014,-300,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_165
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136610432106535,-300,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_200
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136603799131056,-300,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_250
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136597166155577,-300,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_300
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41365905331800984,-300,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_350
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41365839002046195,-300,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_400
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41365772672291407,-300,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_450
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4136570634253662,-300,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_500
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097727019157473,-200,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_70
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097720386181994,-200,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_85
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097713753206515,-200,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_105
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097707120231036,-200,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_120
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097700487255558,-200,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_140
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097693854280079,-200,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_165
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.50976872213046,-200,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_200
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097680588329121,-200,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_250
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097673955353642,-200,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_300
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097667322378163,-200,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_350
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097660689402684,-200,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_400
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097654056427205,-200,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_450
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.5097647423451727,-200,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_500
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058803808355538,-100,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_70
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.605879717538006,-100,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_85
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058790542404581,-100,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_105
