Sub_Model,RiskFactor_NM,X1_Var,X2_Var,RiskFactor,X1_Val,X2_Val,Calc_Type,On_Off,Monotonicity,Fixed,Key
HT,00LVL,LVL,,-0.36627325326616444,0,0,DIM_0,Y,,,HT_00LVL_0_0
HT,01AGE,AGE,,-0.8820548919981285,0,0,DIM_1,Y,,,HT_01AGE_0_0
HT,01AGE,AGE,,-1.1789772608619595,1,0,DIM_1,Y,,,HT_01AGE_1_0
HT,01AGE,AGE,,0.3475023414313812,2,0,DIM_1,Y,,,HT_01AGE_2_0
HT,01AGE,AGE,,-1.2299915130466499,4,0,DIM_1,Y,,,HT_01AGE_4_0
HT,01AGE,AGE,,0.37097169804766883,7,0,DIM_1,Y,,,HT_01AGE_7_0
HT,01AGE,AGE,,-0.1055692228738048,12,0,DIM_1,Y,,,HT_01AGE_12_0
HT,01AGE,AGE,,0.15025286063594984,18,0,DIM_1,Y,,,HT_01AGE_18_0
HT,01AGE,AGE,,-0.12171174211446162,24,0,DIM_1,Y,,,HT_01AGE_24_0
HT,01AGE,AGE,,0.6125084530532123,36,0,DIM_1,Y,,,HT_01AGE_36_0
HT,01AGE,AGE,,0.408666118888134,60,0,DIM_1,Y,,,HT_01AGE_60_0
HT,01AGE,AGE,,-1.1954132447787302,72,0,DIM_1,Y,,,HT_01AGE_72_0
HT,02INC,SPREAD,,0.0,-200,0,DIM_1,N,1,,HT_02INC_-200_0
HT,02INC,SPREAD,,0.0,-150,0,DIM_1,N,1,,HT_02INC_-150_0
HT,02INC,SPREAD,,0.0,-100,0,DIM_1,N,1,,HT_02INC_-100_0
HT,02INC,SPREAD,,0.0,-50,0,DIM_1,N,1,,HT_02INC_-50_0
HT,02INC,SPREAD,,0.0,-25,0,DIM_1,N,1,,HT_02INC_-25_0
HT,02INC,SPREAD,,0.0,0,0,DIM_1,N,1,,HT_02INC_0_0
HT,04SEA,MON,,-0.392,1,0,DIM_1,Y,,Y,HT_04SEA_1_0
HT,04SEA,MON,,-0.347,2,0,DIM_1,Y,,Y,HT_04SEA_2_0
HT,04SEA,MON,,-0.0585,3,0,DIM_1,Y,,Y,HT_04SEA_3_0
HT,04SEA,MON,,0.0365,4,0,DIM_1,Y,,Y,HT_04SEA_4_0
HT,04SEA,MON,,0.1349,5,0,DIM_1,Y,,Y,HT_04SEA_5_0
HT,04SEA,MON,,0.222,6,0,DIM_1,Y,,Y,HT_04SEA_6_0
HT,04SEA,MON,,0.1638,7,0,DIM_1,Y,,Y,HT_04SEA_7_0
HT,04SEA,MON,,0.1892,8,0,DIM_1,Y,,Y,HT_04SEA_8_0
HT,04SEA,MON,,0.0195,9,0,DIM_1,Y,,Y,HT_04SEA_9_0
HT,04SEA,MON,,0.0024,10,0,DIM_1,Y,,Y,HT_04SEA_10_0
HT,04SEA,MON,,-0.1026,11,0,DIM_1,Y,,Y,HT_04SEA_11_0
HT,04SEA,MON,,-0.0691,12,0,DIM_1,Y,,Y,HT_04SEA_12_0
HT,05EGSO,EGSO,,-0.3662732532661637,-9,0,DIM_1,Y,1,,HT_05EGSO_-9_0
HT,05EGSO,EGSO,,-0.1834821075673535,-6,0,DIM_1,Y,1,,HT_05EGSO_-6_0
HT,05EGSO,EGSO,,0.013906496308177141,-3,0,DIM_1,Y,1,,HT_05EGSO_-3_0
HT,05EGSO,EGSO,,0.05748908355668564,0,0,DIM_1,Y,1,,HT_05EGSO_0_0
HT,05EGSO,EGSO,,0.15155458211916922,3,0,DIM_1,Y,1,,HT_05EGSO_3_0
HT,05EGSO,EGSO,,0.29125878963365043,6,0,DIM_1,Y,1,,HT_05EGSO_6_0
HT,05EGSO,EGSO,,0.31489299864604464,9,0,DIM_1,Y,1,,HT_05EGSO_9_0
HT,05EGSO,EGSO,,0.3602929202692699,12,0,DIM_1,Y,1,,HT_05EGSO_12_0
HT,05EGSO,EGSO,,0.5109668553894251,15,0,DIM_1,Y,1,,HT_05EGSO_15_0
