Sub_Model,RiskFactor_NM,X1_Var,X2_Var,RiskFactor,X1_Val,X2_Val,Calc_Type,On_Off,Monotonicity,Fixed,Key
HT,00LVL,LVL,,-0.10302379623986119,0,0,DIM_0,Y,,,HT_00LVL_0_0
HT,01AGE,AGE,,-0.3120501731193328,0,0,DIM_1,Y,,,HT_01AGE_0_0
HT,01AGE,AGE,,-1.6115042350148743,1,0,DIM_1,Y,,,HT_01AGE_1_0
HT,01AGE,AGE,,-1.6151031806339082,2,0,DIM_1,Y,,,HT_01AGE_2_0
HT,01AGE,AGE,,-1.47259577693724,4,0,DIM_1,Y,,,HT_01AGE_4_0
HT,01AGE,AGE,,-0.5993554714397746,7,0,DIM_1,Y,,,HT_01AGE_7_0
HT,01AGE,AGE,,-0.8095770673624463,12,0,DIM_1,Y,,,HT_01AGE_12_0
HT,01AGE,AGE,,0.07129309438355991,18,0,DIM_1,Y,,,HT_01AGE_18_0
HT,01AGE,AGE,,-0.19554002064047726,24,0,DIM_1,Y,,,HT_01AGE_24_0
HT,01AGE,AGE,,-1.492192365920951,36,0,DIM_1,Y,,,HT_01AGE_36_0
HT,01AGE,AGE,,0.03150875510663076,60,0,DIM_1,Y,,,HT_01AGE_60_0
HT,01AGE,AGE,,-1.6727111919459352,72,0,DIM_1,Y,,,HT_01AGE_72_0
HT,02INC,SPREAD,,0.0,-200,0,DIM_1,N,1,,HT_02INC_-200_0
HT,02INC,SPREAD,,0.0,-150,0,DIM_1,N,1,,HT_02INC_-150_0
HT,02INC,SPREAD,,0.0,-100,0,DIM_1,N,1,,HT_02INC_-100_0
HT,02INC,SPREAD,,0.0,-50,0,DIM_1,N,1,,HT_02INC_-50_0
HT,02INC,SPREAD,,0.0,-25,0,DIM_1,N,1,,HT_02INC_-25_0
HT,02INC,SPREAD,,0.0,0,0,DIM_1,N,1,,HT_02INC_0_0
HT,04SEA,MON,,-0.392,1,0,DIM_1,Y,,Y,HT_04SEA_1_0
HT,04SEA,MON,,-0.347,2,0,DIM_1,Y,,Y,HT_04SEA_2_0
HT,04SEA,MON,,-0.0585,3,0,DIM_1,Y,,Y,HT_04SEA_3_0
HT,04SEA,MON,,0.0365,4,0,DIM_1,Y,,Y,HT_04SEA_4_0
HT,04SEA,MON,,0.1349,5,0,DIM_1,Y,,Y,HT_04SEA_5_0
HT,04SEA,MON,,0.222,6,0,DIM_1,Y,,Y,HT_04SEA_6_0
HT,04SEA,MON,,0.1638,7,0,DIM_1,Y,,Y,HT_04SEA_7_0
HT,04SEA,MON,,0.1892,8,0,DIM_1,Y,,Y,HT_04SEA_8_0
HT,04SEA,MON,,0.0195,9,0,DIM_1,Y,,Y,HT_04SEA_9_0
HT,04SEA,MON,,0.0024,10,0,DIM_1,Y,,Y,HT_04SEA_10_0
HT,04SEA,MON,,-0.1026,11,0,DIM_1,Y,,Y,HT_04SEA_11_0
HT,04SEA,MON,,-0.0691,12,0,DIM_1,Y,,Y,HT_04SEA_12_0
HT,05EGSO,EGSO,,0.8857275749045239,-9,0,DIM_1,Y,1,,HT_05EGSO_-9_0
HT,05EGSO,EGSO,,1.0691343879310304,-6,0,DIM_1,Y,1,,HT_05EGSO_-6_0
HT,05EGSO,EGSO,,1.1908519678706664,-3,0,DIM_1,Y,1,,HT_05EGSO_-3_0
HT,05EGSO,EGSO,,1.2551392942663455,0,0,DIM_1,Y,1,,HT_05EGSO_0_0
HT,05EGSO,EGSO,,1.3116573809497742,3,0,DIM_1,Y,1,,HT_05EGSO_3_0
HT,05EGSO,EGSO,,1.356773234577159,6,0,DIM_1,Y,1,,HT_05EGSO_6_0
HT,05EGSO,EGSO,,1.4405367746514435,9,0,DIM_1,Y,1,,HT_05EGSO_9_0
HT,05EGSO,EGSO,,1.5349774392536906,12,0,DIM_1,Y,1,,HT_05EGSO_12_0
HT,05EGSO,EGSO,,1.699005660985593,15,0,DIM_1,Y,1,,HT_05EGSO_15_0
HT,11FICO,FICO,,0.2204980580664278,640,0,DIM_1,Y,-1,,HT_11FICO_640_0
HT,11FICO,FICO,,0.07338204959522751,680,0,DIM_1,Y,-1,,HT_11FICO_680_0
HT,11FICO,FICO,,-0.09380935690326248,720,0,DIM_1,Y,-1,,HT_11FICO_720_0
HT,11FICO,FICO,,-0.28834510392680307,750,0,DIM_1,Y,-1,,HT_11FICO_750_0
HT,11FICO,FICO,,-0.39337221038047204,780,0,DIM_1,Y,-1,,HT_11FICO_780_0
