Sub_Model,RiskFactor_NM,X1_Var,X2_Var,RiskFactor,X1_Val,X2_Val,Calc_Type,On_Off,Monotonicity,Fixed,Key
HT,00LVL,LVL,,-0.16394770211526719,0,0,DIM_0,Y,,,HT_00LVL_0_0
HT,01AGE,AGE,,-0.6882381071517261,0,0,DIM_1,Y,,,HT_01AGE_0_0
HT,01AGE,AGE,,0.7841616821681608,1,0,DIM_1,Y,,,HT_01AGE_1_0
HT,01AGE,AGE,,0.7506765285012715,2,0,DIM_1,Y,,,HT_01AGE_2_0
HT,01AGE,AGE,,0.35817687454068675,4,0,DIM_1,Y,,,HT_01AGE_4_0
HT,01AGE,AGE,,-0.7229678898895012,7,0,DIM_1,Y,,,HT_01AGE_7_0
HT,01AGE,AGE,,0.16212325704269495,12,0,DIM_1,Y,,,HT_01AGE_12_0
HT,01AGE,AGE,,-0.10149964553232561,18,0,DIM_1,Y,,,HT_01AGE_18_0
HT,01AGE,AGE,,0.7527605315278116,24,0,DIM_1,Y,,,HT_01AGE_24_0
HT,01AGE,AGE,,-0.579522945450759,36,0,DIM_1,Y,,,HT_01AGE_36_0
HT,01AGE,AGE,,-0.24057731286749587,60,0,DIM_1,Y,,,HT_01AGE_60_0
HT,01AGE,AGE,,-0.6026313875806826,72,0,DIM_1,Y,,,HT_01AGE_72_0
HT,02INC,SPREAD,,0.0,-200,0,DIM_1,N,1,,HT_02INC_-200_0
HT,02INC,SPREAD,,0.0,-150,0,DIM_1,N,1,,HT_02INC_-150_0
HT,02INC,SPREAD,,0.0,-100,0,DIM_1,N,1,,HT_02INC_-100_0
HT,02INC,SPREAD,,0.0,-50,0,DIM_1,N,1,,HT_02INC_-50_0
HT,02INC,SPREAD,,0.0,-25,0,DIM_1,N,1,,HT_02INC_-25_0
HT,02INC,SPREAD,,0.0,0,0,DIM_1,N,1,,HT_02INC_0_0
HT,04SEA,MON,,-0.392,1,0,DIM_1,Y,,Y,HT_04SEA_1_0
HT,04SEA,MON,,-0.347,2,0,DIM_1,Y,,Y,HT_04SEA_2_0
HT,04SEA,MON,,-0.0585,3,0,DIM_1,Y,,Y,HT_04SEA_3_0
HT,04SEA,MON,,0.0365,4,0,DIM_1,Y,,Y,HT_04SEA_4_0
HT,04SEA,MON,,0.1349,5,0,DIM_1,Y,,Y,HT_04SEA_5_0
HT,04SEA,MON,,0.222,6,0,DIM_1,Y,,Y,HT_04SEA_6_0
HT,04SEA,MON,,0.1638,7,0,DIM_1,Y,,Y,HT_04SEA_7_0
HT,04SEA,MON,,0.1892,8,0,DIM_1,Y,,Y,HT_04SEA_8_0
HT,04SEA,MON,,0.0195,9,0,DIM_1,Y,,Y,HT_04SEA_9_0
HT,04SEA,MON,,0.0024,10,0,DIM_1,Y,,Y,HT_04SEA_10_0
HT,04SEA,MON,,-0.1026,11,0,DIM_1,Y,,Y,HT_04SEA_11_0
HT,04SEA,MON,,-0.0691,12,0,DIM_1,Y,,Y,HT_04SEA_12_0
HT,05EGSO,EGSO,,-0.16394770211526674,-9,0,DIM_1,Y,1,,HT_05EGSO_-9_0
HT,05EGSO,EGSO,,-0.02858397291115769,-6,0,DIM_1,Y,1,,HT_05EGSO_-6_0
HT,05EGSO,EGSO,,0.04973905257224079,-3,0,DIM_1,Y,1,,HT_05EGSO_-3_0
HT,05EGSO,EGSO,,0.1637865022538136,0,0,DIM_1,Y,1,,HT_05EGSO_0_0
HT,05EGSO,EGSO,,0.22816741021319983,3,0,DIM_1,Y,1,,HT_05EGSO_3_0
HT,05EGSO,EGSO,,0.4204469448853445,6,0,DIM_1,Y,1,,HT_05EGSO_6_0
HT,05EGSO,EGSO,,0.45508538249766817,9,0,DIM_1,Y,1,,HT_05EGSO_9_0
HT,05EGSO,EGSO,,0.5740078386463143,12,0,DIM_1,Y,1,,HT_05EGSO_12_0
HT,05EGSO,EGSO,,0.7072875158414275,15,0,DIM_1,Y,1,,HT_05EGSO_15_0
HT,11FICO,FICO,,-0.16394770211526674,640,0,DIM_1,Y,-1,,HT_11FICO_640_0
HT,11FICO,FICO,,-0.31447577864349274,680,0,DIM_1,Y,-1,,HT_11FICO_680_0
HT,11FICO,FICO,,-0.41826177122104624,720,0,DIM_1,Y,-1,,HT_11FICO_720_0
HT,11FICO,FICO,,-0.44001472439140943,750,0,DIM_1,Y,-1,,HT_11FICO_750_0
HT,11FICO,FICO,,-0.5853987850075245,780,0,DIM_1,Y,-1,,HT_11FICO_780_0
HT,12CLTV,CLTV,,-0.16394770211526674,50,0,DIM_1,Y,-1,,HT_12CLTV_50_0
HT,12CLTV,CLTV,,-0.31109677555812726,60,0,DIM_1,Y,-1,,HT_12CLTV_60_0
HT,12CLTV,CLTV,,-0.4328580030960145,70,0,DIM_1,Y,-1,,HT_12CLTV_70_0
HT,12CLTV,CLTV,,-0.5503106840027584,80,0,DIM_1,Y,-1,,HT_12CLTV_80_0
HT,12CLTV,CLTV,,-0.5503106840027584,85,0,DIM_1,Y,-1,,HT_12CLTV_85_0
HT,12CLTV,CLTV,,-0.7495916175750424,90,0,DIM_1,Y,-1,,HT_12CLTV_90_0
HT,12CLTV,CLTV,,-0.8839364425870285,95,0,DIM_1,Y,-1,,HT_12CLTV_95_0
HT,16PPURPC,PPURPC,,-0.07567894128020279,0,0,DIM_0,Y,,,HT_16PPURPC_0_0
HT,16PPURPP,PPURPP,,-0.3726043298301345,0,0,DIM_0,Y,,,HT_16PPURPP_0_0
HT,16PPURPR,PPURPR,,-0.1646043959401843,0,0,DIM_0,Y,,,HT_16PPURPR_0_0
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.49765267175693906,-400,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_70
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.49627159908521673,-400,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_85
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.4225788267009972,-400,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_105
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.41138051246598906,-400,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_120
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.40087624335961675,-400,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_140
